 3 , 1924 ,  9.0, 56.4
 4 , 1926 ,  1.0,  6.9
 5 , 1927 ,  4.0, 24.8
 6 , 1929 ,  4.0, 28.8
 7 , 1930 ,  4.0, 26.8
 8 , 1934 ,  4.0, 26.4
 9 , 1935 ,  1.0,  7.0
 10 , 1936 ,  4.0, 20.8
 11 , 1938 , 14.0, 90.8
 12 , 1939 ,  5.0, 28.6
 13 , 1940 , 10.0, 60.0
 14 , 1941 , 18.0,132.3
 15 , 1942 ,  8.0, 48.8
 16 , 1943 ,  6.0, 34.4
 17 , 1944 ,  4.0, 16.0
 18 , 1945 ,  5.0, 32.2
 19 , 1947 ,  4.0, 24.8
 20 , 1948 ,  4.0, 26.4
 21 , 1949 ,  1.0,  6.1
 22 , 1950 ,  4.0, 21.2
 23 , 1951 , 12.0, 88.8
 24 , 1954 ,  5.0, 28.8
 25 , 1955 ,  4.0, 28.8
 26 , 1956 ,  5.0, 31.5
 27 , 1957 ,  6.0, 37.9
 28 , 1959 ,  9.0, 58.7
 29 , 1960 ,  8.0, 42.4
 30 , 1961 ,  5.0, 24.2
 31 , 1962 , 12.0, 77.6
 32 , 1963 , 14.0, 89.3
 33 , 1964 , 20.0,129.6
 34 , 1965 , 23.0,141.3
 35 , 1966 ,  8.0, 50.2
 36 , 1967 , 18.0,120.0
 37 , 1968 ,  6.0, 34.2
 38 , 1969 , 35.0,206.6
 39 , 1970 , 35.0,177.3
 40 , 1971 , 27.0,167.7
 41 , 1972 , 13.0, 70.3
 42 , 1973 , 20.0,105.9
 43 , 1974 , 36.0,201.2
 44 , 1975 , 22.0,121.3
 45 , 1976 , 24.0,125.8
 46 , 1977 , 20.0,117.4
 47 , 1978 , 31.0,176.7
 48 , 1979 , 42.0,252.2
 49 , 1980 , 37.0,211.5
 50 , 1981 , 26.0,142.9
 51 , 1982 , 37.0,216.4
 52 , 1983 , 22.0,145.7
 53 , 1984 , 27.0,164.1
 54 , 1985 , 23.0,145.8
 55 , 1986 , 27.0,167.3
 56 , 1987 , 20.0,124.3
 57 , 1988 , 19.0,134.8
 58 , 1989 , 25.0,153.8
 59 , 1990 , 28.0,183.6
 60 , 1991 ,  6.0, 33.0
 61 , 1992 , 13.0, 83.9
 62 , 1993 , 16.0, 98.8
 63 , 1994 , 10.0, 62.9
 64 , 1995 , 24.0,142.8
 65 , 1996 , 41.0,253.2
 66 , 1997 ,113.0,738.2
 67 , 1998 , 52.0,308.0
 68 , 1999 , 11.0, 73.6
 69 , 2000 ,  5.0, 27.9
 70 , 2001 ,  5.0, 22.1
 1 , 1916 ,  4.0, 20.8
 2 , 1920 ,  1.0,  7.8
 3 , 1923 ,  8.0, 49.6
 4 , 1924 ,  5.0, 34.4
 5 , 1925 ,  4.0, 27.2
 6 , 1926 ,  4.0, 28.0
 7 , 1927 ,  1.0,  6.6
 8 , 1929 ,  1.0,  7.1
 9 , 1931 , 12.0, 76.4
 10 , 1935 ,  9.0, 40.4
 11 , 1936 , 16.0,106.4
 12 , 1937 , 13.0, 84.9
 13 , 1938 , 13.0, 89.5
 14 , 1939 , 14.0, 89.2
 15 , 1940 , 14.0,107.0
 16 , 1941 , 16.0, 90.4
 17 , 1942 ,  7.0, 36.9
 18 , 1943 , 25.0,134.5
 19 , 1944 ,  4.0, 24.8
 20 , 1945 ,  4.0, 20.4
 21 , 1946 ,  4.0, 25.2
 22 , 1947 ,  4.0, 20.8
 23 , 1948 ,  6.0, 33.7
 24 , 1949 , 10.0, 64.2
 25 , 1950 ,  1.0,  4.9
 26 , 1951 , 13.0, 86.8
 27 , 1952 ,  7.0, 41.3
 28 , 1954 ,  1.0,  5.0
 29 , 1955 ,  8.0, 46.8
 30 , 1956 ,  9.0, 52.4
 31 , 1957 ,  4.0, 20.0
 32 , 1958 ,  5.0, 25.5
 33 , 1959 ,  8.0, 49.6
 34 , 1960 ,  5.0, 28.9
 35 , 1961 ,  8.0, 43.6
 36 , 1962 , 12.0, 70.8
 37 , 1963 ,  1.0,  7.0
 38 , 1964 , 12.0, 67.2
 39 , 1965 ,  8.0, 43.6
 40 , 1966 ,  6.0, 37.6
 41 , 1967 ,  4.0, 22.4
 42 , 1968 , 17.0, 79.9
 43 , 1969 , 13.0, 75.4
 44 , 1970 , 14.0, 84.7
 45 , 1971 , 22.0, 91.6
 46 , 1972 , 28.0,168.7
 47 , 1973 , 43.0,247.7
 48 , 1974 , 34.0,167.1
 49 , 1975 , 41.0,209.4
 50 , 1976 , 65.0,358.9
 51 , 1977 , 27.0,145.0
 52 , 1978 , 27.0,159.4
 53 , 1979 , 13.0, 77.1
 54 , 1980 , 16.0, 96.3
 55 , 1981 , 22.0,127.6
 56 , 1982 , 35.0,216.9
 57 , 1983 , 29.0,178.0
 58 , 1984 , 38.0,223.3
 59 , 1985 , 15.0, 92.8
 60 , 1986 , 12.0, 73.3
 61 , 1987 ,  8.0, 49.2
 62 , 1988 , 10.0, 68.4
 63 , 1989 ,  2.0,  9.1
 64 , 1990 , 17.0,104.2
 65 , 1991 ,  6.0, 26.8
 66 , 1992 ,  9.0, 68.7
 67 , 1993 , 28.0,170.7
 68 , 1994 , 12.0, 57.2
 69 , 1995 , 20.0,118.0
 70 , 1996 , 34.0,225.8
 71 , 1997 , 90.0,574.3
 72 , 1998 , 53.0,281.7
 73 , 1999 , 11.0, 75.4
 74 , 2001 ,  4.0, 31.2
 1 , 1915 ,  5.0, 26.1
 2 , 1916 ,  4.0, 21.6
 3 , 1919 ,  1.0,  6.2
 4 , 1926 ,  8.0, 52.8
 5 , 1934 ,  8.0, 48.4
 6 , 1935 , 12.0, 72.0
 7 , 1936 , 10.0, 45.6
 8 , 1937 ,  5.0, 18.8
 9 , 1941 ,  4.0, 17.6
 10 , 1942 ,  8.0, 39.2
 11 , 1943 ,  4.0, 21.2
 12 , 1944 ,  4.0, 27.6
 13 , 1945 ,  4.0, 18.4
 14 , 1948 ,  9.0, 44.3
 15 , 1949 ,  4.0, 16.4
 16 , 1950 ,  6.0, 29.9
 17 , 1951 ,  8.0, 47.2
 18 , 1952 , 10.0, 57.0
 19 , 1953 ,  5.0, 28.6
 20 , 1954 , 16.0, 97.6
 21 , 1955 ,  8.0, 50.0
 22 , 1956 ,  4.0, 28.4
 23 , 1957 , 11.0, 66.9
 24 , 1959 , 12.0, 60.0
 25 , 1960 ,  5.0, 36.6
 26 , 1961 , 16.0, 84.0
 27 , 1962 ,  5.0, 36.6
 28 , 1963 , 16.0, 78.0
 29 , 1964 , 13.0, 49.8
 30 , 1965 , 21.0,125.4
 31 , 1966 ,  8.0, 40.4
 32 , 1967 , 14.0, 97.5
 33 , 1968 , 25.0,175.5
 34 , 1969 , 14.0, 54.8
 35 , 1970 , 11.0, 64.4
 36 , 1971 , 14.0, 86.1
 37 , 1972 , 20.0,102.8
 38 , 1973 , 20.0,103.2
 39 , 1974 , 13.0, 75.9
 40 , 1975 , 24.0,130.2
 41 , 1976 , 21.0,127.4
 42 , 1977 , 10.0, 49.4
 43 , 1978 ,  5.0, 34.1
 44 , 1979 , 31.0,161.5
 45 , 1980 , 19.0,107.9
 46 , 1981 , 32.0,199.8
 47 , 1982 , 29.0,179.2
 48 , 1983 , 18.0,120.5
 49 , 1984 , 18.0, 93.9
